id,name,code,image-large,image-normal,partner,gameid,game_category_id
111,Stone Hominid,3023,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3023.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3023.png,ASKMEBET,3023,"1,2"
77,T-Rex,3024,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3024.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3024.png,ASKMEBET,3024,"1,2"
80,Greatest Circus,3025,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3025.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3025.png,ASKMEBET,3025,"1,2"
106,Midas Touch,3026,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3026.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3026.png,ASKMEBET,3026,"1,2"
95,Maya King,3027,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3027.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3027.png,ASKMEBET,3027,"1,2"
76,Fruits Bar,3028,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3028.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3028.png,ASKMEBET,3028,"1,2"
99,Rich Dragon,3029,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3029.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3029.png,ASKMEBET,3029,"1,2"
83,JIN HOU YE,3030,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3030.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3030.png,ASKMEBET,3030,"1,2"
101,Fushen Coming,3031,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3031.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3031.png,ASKMEBET,3031,"1,2"
114,Pandaria,3032,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3032.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3032.png,ASKMEBET,3032,"1,2"
109,Rich Now,3033,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3033.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3033.png,ASKMEBET,3033,"1,2,4"
105,777,3034,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3034.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3034.png,ASKMEBET,3034,"1,2"
115,Triple Monkey,3035,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3035.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3035.png,ASKMEBET,3035,"1,2"
